Value,Time
0,3621164
0,3623176
0,3625165
0,3627257
0,3629169
0,3631175
0,3633162
18,3635157
32,3637259
39,3639177
26,3641169
0,3643161
0,3645162
12,3647364
22,3649169
13,3651165
0,3653162
0,3655171
0,3657261
0,3659182
3,3661168
1,3663172
0,3665166
0,3667262
0,3669168
17,3671177
20,3673163
14,3675163
0,3677481
0,3679179
21,3681169
81,3683161
84,3685164
22,3687280
0,3689172
0,3691164
0,3693156
0,3695181
40,3697266
47,3699171
67,3701163
35,3703177
0,3705164
19,3707264
54,3709170
93,3711179
71,3713164
26,3715161
0,3717262
0,3719181
9,3721170
14,3723148
0,3725164
0,3727268
0,3729170
0,3731166
0,3733160
11,3735181
4,3737325
0,3739174
4,3741165
20,3743176
10,3745170
8,3747308
0,3749176
0,3751173
7,3753153
25,3755162
38,3757265
26,3759180
25,3761168
19,3763152
15,3765153
0,3767282
0,3769174
0,3771168
13,3773149
47,3775175
29,3777265
0,3779170
0,3781151
0,3783158
0,3785151
0,3787257
17,3789157
44,3791161
20,3793151
0,3795154
0,3797262
43,3799174
90,3801154
87,3803160
50,3805152
0,3807282
0,3809159
21,3811154
33,3813163
9,3815178
3,3817265
0,3819160
0,3821151
0,3823158
0,3825155
0,3827263
0,3829160
0,3831163
0,3833165
1,3835158
14,3837271
23,3839180
31,3841162
26,3843154
25,3845165
16,3847366
30,3849159
27,3851165
22,3853148
9,3855163
0,3857264
0,3859157
12,3861151
22,3863172
66,3865154
0,3867281
0,3869158
0,3871166
0,3873150
0,3875162
3,3877263
13,3879169
17,3881156
13,3883152
0,3885164
13,3887281
43,3889159
53,3891166
52,3893164
9,3895165
1,3897262
9,3899160
14,3901155
12,3903161
0,3905167
0,3907263
0,3909158
0,3911166
0,3913163
0,3915166
0,3917260
0,3919179
0,3921166
27,3923162
31,3925164
5,3927278
0,3929167
0,3931165
0,3933159
0,3935170
40,3937467
50,3939168
39,3941164
25,3943172
14,3945164
20,3947305
26,3949167
29,3951176
10,3953164
0,3955162
0,3957257
0,3959166
0,3961166
0,3963159
0,3965160
0,3967263
0,3969167
0,3971158
18,3973160
29,3975175
16,3977255
18,3979167
7,3981161
39,3983168
68,3985169
55,3987259
10,3989166
0,3991176
0,3993159
0,3995163
4,3997259
22,3999180
28,4001237
8,4003167
0,4005166
0,4007300
0,4009172
36,4011166
36,4013155
49,4015180
0,4017266
0,4019173
0,4021160
7,4023174
10,4025166
10,4027257
0,4029171
0,4031172
6,4033163
18,4035169
11,4037255
0,4039175
0,4041165
19,4043163
21,4045162
11,4047382
0,4049169
0,4051166
0,4053157
0,4055177
29,4057260
19,4059168
13,4061165
14,4063177
13,4065169
2,4067261
0,4069166
17,4071175
19,4073160
21,4075163
8,4077254
0,4079176
0,4081168
0,4083158
0,4085161
0,4087286
0,4089165
0,4091161
15,4093160
26,4095178
21,4097260
0,4099169
3,4101163
2,4103174
39,4105165
48,4107252
27,4109168
0,4111174
0,4113162
0,4115163
0,4117259
0,4119174
13,4121165
24,4123171
5,4125165
0,4127287
0,4129171
8,4131165
40,4133158
40,4135181
6,4137316
0,4139172
0,4141163
0,4143170
6,4145166
2,4147300
1,4149167
0,4151176
0,4153163
10,4155162
17,4157257
2,4159178
0,4161164
7,4163163
15,4165159
19,4167277
10,4169169
0,4171163
0,4173158
0,4175180
0,4177262
30,4179168
28,4181163
28,4183174
20,4185164
11,4187257
11,4189170
3,4191177
20,4193162
18,4195167
0,4197259
0,4199171
0,4201167
0,4203160
0,4205160
0,4207262
0,4209167
0,4211161
0,4213162
13,4215174
32,4217254
29,4219170
16,4221164
0,4223172
0,4225163
53,4227254
80,4229171
53,4231175
0,4233166
0,4235168
0,4237259
0,4239180
7,4241167
29,4243160
42,4245162
3,4247365
0,4249171
0,4251162
25,4253159
72,4255176
39,4257255
0,4259168
0,4261162
0,4263174
5,4265162
25,4267254
45,4269172
0,4271169
0,4273158
0,4275163
0,4277256
6,4279180
0,4281163
3,4283161
0,4285159
0,4287258
26,4289168
0,4291162
8,4293162
25,4295175
23,4297259
21,4299170
14,4301163
37,4303176
15,4305161
8,4307249
0,4309169
0,4311179
0,4313162
8,4315163
6,4317255
0,4319172
0,4321160
0,4323159
0,4325163
0,4327278
0,4329169
0,4331166
0,4333159
23,4335177
39,4337331
37,4339172
22,4341164
1,4343172
2,4345165
19,4347307
28,4349176
8,4351177
0,4353163
0,4355161
0,4357255
0,4359180
0,4361165
0,4363156
0,4365162
0,4367261
11,4369171
36,4371160
39,4373157
34,4375177
0,4377255
0,4379175
0,4381162
75,4383174
104,4385164
54,4387262
0,4389169
0,4391173
0,4393165
0,4395165
23,4397252
34,4399175
59,4401165
40,4403163
2,4405160
8,4407259
58,4409170
105,4411162
97,4413158
41,4415172
0,4417257
0,4419168
8,4421158
18,4423169
0,4425164
0,4427254
0,4429166
0,4431176
0,4433162
5,4435166
0,4437256
0,4439180
0,4441164
8,4443159
9,4445162
21,4447359
1,4449172
5,4451161
13,4453156
25,4455178
36,4457256
11,4459172
7,4461161
25,4463175
19,4465160
0,4467251
0,4469171
0,4471172
32,4473165
53,4475164
30,4477261
0,4479178
0,4481168
0,4483162
0,4485163
0,4487263
28,4489160
42,4491164
23,4493157
0,4495180
