distance (mm),t1,t2,t3
3.718,8.998433129,2.750838139,4.621061493
3.728,9.007273225,2.761246639,4.562741223
3.738,9.021388862,2.775077111,4.480180254
3.748,9.035433207,2.791260189,4.32988792
3.758,9.048907224,2.805803572,4.152146559
3.768,9.060242508,2.816140781,3.951733015
3.778,9.077566243,2.827903811,3.678739966
3.788,9.090541222,2.839809424,3.279695283
3.798,9.098383243,2.852214074,2.992656888
3.808,9.106225263,2.859842221,2.870455246
3.818,9.1203409,2.873102364,2.786824834
3.828,9.129893906,2.893135162,2.664480601
3.838,9.132317803,2.914665072,2.596464051
3.848,9.136310104,2.931133315,2.599601083
3.858,9.144437289,2.950524492,2.639812124
3.868,9.151708981,2.970771163,2.685013899
3.878,9.15299222,2.990447505,2.739626767
3.888,9.155130953,3.004349268,2.755953591
3.898,9.162687809,3.018037158,2.600171452
3.908,9.168319806,3.036929298,2.332739505
3.918,9.17252598,3.053896578,2.119991723
3.928,9.180082836,3.063663458,2.007486361
3.938,9.19405589,3.075711653,1.940967031
3.948,9.203537606,3.092393769,1.892414336
3.958,9.208741856,3.109361049,1.841081091
3.968,9.215158054,3.121551826,1.69856004
3.978,9.226422047,3.137521031,1.533438102
3.988,9.23447794,3.155628969,1.43062902
3.998,9.237400875,3.171883338,1.367603202
4.008,9.240680266,3.181864091,1.353985633
4.018,9.239896064,3.196051019,1.339441214
4.028,9.235832471,3.213588628,1.264508935
4.038,9.227420122,3.227846846,1.19734794
4.048,9.218936482,3.23918213,1.170112801
4.058,9.214445143,3.25087387,1.17275076
4.068,9.207316034,3.265345962,1.184158148
4.078,9.197691736,3.279319016,1.190859988
4.088,9.188851641,3.288159112,1.170897059
4.098,9.189778425,3.296072423,1.139384151
4.108,9.187425819,3.310330642,1.135748046
4.118,9.18165124,3.324232405,1.160202633
4.128,9.177801521,3.334141867,1.184086851
4.138,9.180867038,3.346475226,1.201411822
4.148,9.180795747,3.363299924,1.221873823
4.158,9.177516357,3.381621735,1.251960809
4.168,9.173025018,3.392457982,1.296307029
4.178,9.172026942,3.403793265,1.353557856
4.188,9.167535604,3.419548597,1.404035547
4.198,9.156699357,3.434448436,1.394267971
4.208,9.144579871,3.443930151,1.360972658
4.218,9.137593344,3.454695106,1.356980072
4.228,9.127256136,3.470165274,1.34771157
4.238,9.115421814,3.483354126,1.337159736
4.248,9.105726225,3.490198071,1.336446774
4.258,9.104300403,3.50253143,1.339156029
4.268,9.098597116,3.520069039,1.345216204
4.278,9.090184767,3.535681789,1.355482853
4.288,9.085622137,3.544807049,1.364893948
4.298,9.085265681,3.557069117,1.36503654
4.308,9.08127338,3.57745837,1.346428239
4.318,9.077138497,3.594354359,1.328746788
4.328,9.072575867,3.606046098,1.322757909
4.338,9.069367768,3.621088519,1.307500528
4.348,9.064733846,3.638269672,1.276415396
4.358,9.057961193,3.651886271,1.253315436
4.368,9.050261754,3.659514418,1.240553421
4.378,9.046126871,3.669709045,1.236275651
4.388,9.040708748,3.68503663,1.243120083
4.398,9.034791587,3.699080975,1.251105255
4.408,9.028090224,3.706423958,1.226721963
4.418,9.025737618,3.718329571,1.121773996
4.428,9.021531444,3.731447132,1.042350058
4.438,9.011764564,3.740501101,1.02516768
4.448,9.000215407,3.740714974,1.029873228
4.458,8.989949489,3.744635984,1.013189923
4.468,8.977188384,3.754830611,0.977684429
4.478,8.963999531,3.76716397,0.948167813
4.488,8.950169059,3.776075356,0.931627101
4.498,8.937621827,3.786982894,0.914943796
4.508,8.919799053,3.802809517,0.90517622
4.518,8.905398252,3.821202619,0.905104924
4.528,8.894562006,3.833607269,0.908384548
4.538,8.88828839,3.844514806,0.912377134
4.548,8.874743082,3.859272063,0.9018253
4.558,8.857561928,3.872033168,0.863681847
4.568,8.841022395,3.87802162,0.813631933
4.578,8.825837392,3.887075589,0.722230239
4.588,8.799245814,3.903116085,0.625053554
4.598,8.766808366,3.919156581,0.586411028
4.608,8.735939323,3.929137334,0.567018469
4.618,8.710131947,3.940044872,0.546485171
4.628,8.679904523,3.953447597,0.530942605
4.638,8.652742616,3.966279994,0.533152786
4.648,8.633351439,3.97383685,0.536788891
4.658,8.619663549,3.98167887,0.525737984
4.668,8.605761786,3.992871572,0.499572289
4.678,8.592858098,4.004349438,0.475545478
4.688,8.583376382,4.011763712,0.470982523
4.698,8.578742461,4.019106695,0.480108433
4.708,8.567834924,4.030655852,0.488806566
4.718,8.552150883,4.039424656,0.482817688
4.728,8.53304487,4.042490173,0.463995498
4.738,8.516790501,4.045127944,0.462569574
4.748,8.496971577,4.051258978,0.454513107
4.758,8.472875187,4.057033556,0.446028862
4.768,8.448636215,4.060384238,0.467346418
4.778,8.425181446,4.063093299,0.495793591
4.788,8.398019539,4.066729145,0.519321329
4.798,8.37071505,4.068725296,0.555539785
4.808,8.346547369,4.068939169,0.597961008
4.818,8.327583938,4.072004686,0.636817423
4.828,8.305768864,4.076781189,0.67246551
4.838,8.282456676,4.077707974,0.709183039
4.848,8.261568386,4.07549795,0.751176485
4.858,8.248308242,4.07613957,0.799087514
4.868,8.235903592,4.081985439,0.85020687
4.878,8.220932462,4.086904525,0.898189195
4.888,8.204820675,4.08398159,0.944603004
4.898,8.192059569,4.079989289,0.977185356
4.908,8.17644682,4.079347669,0.988378855
4.918,8.154631745,4.072004686,0.996934396
4.928,8.134527657,4.05532257,0.987238116
4.938,8.115778099,4.040351441,0.924853964
4.948,8.094176898,4.027519044,0.822116178
4.958,8.069082433,4.009553688,0.775844961
4.968,8.044344423,3.985314716,0.774347742
4.978,8.02003416,3.964569008,0.789248642
4.988,7.990947394,3.949811752,0.815770819
4.998,7.960791262,3.936551608,0.850420759
5.008,7.931490622,3.920083366,0.884001257
5.018,7.906681322,3.905682565,0.915442869
5.028,7.882941387,3.893064041,0.951376141
5.038,7.861055022,3.880516809,0.989234409
5.048,7.842804502,3.867684412,1.01903621
5.058,7.831683091,3.864761477,1.041351912
5.068,7.818422948,3.869395398,1.063453726
5.078,7.804164729,3.876168052,1.081420361
5.088,7.792829445,3.878948405,1.09468145
5.098,7.786270664,3.882370377,1.10715828
5.108,7.777715733,3.889570778,1.118351779
5.118,7.764669463,3.89755538,1.124982324
5.128,7.747844765,3.898909911,1.125481397
5.138,7.73251718,3.899765404,1.122201773
5.148,7.711201143,3.900906061,1.123627696
5.158,7.687603791,3.896058267,1.09952959
5.168,7.664790641,3.886790425,0.938970607
5.178,7.645542046,3.873387699,0.779481066
5.188,7.623726971,3.859272063,0.736346881
5.198,7.602482225,3.842090909,0.734635773
5.208,7.583518794,3.814216092,0.724012643
5.218,7.569759613,3.783560921,0.720233946
5.228,7.553861699,3.754046409,0.713674698
5.238,7.53504085,3.718899899,0.69741917
5.248,7.517930988,3.676766863,0.669542367
5.258,7.50174791,3.639196457,0.615000794
5.268,7.48157253,3.605974807,0.568658281
5.278,7.459828747,3.571469918,0.51910744
5.288,7.441649518,3.531333032,0.48966212
5.298,7.425466439,3.496400396,0.491943598
5.308,7.404720731,3.463178746,0.496292665
5.318,7.377487533,3.424610265,0.497148219
5.328,7.351323702,3.385328872,0.503350986
5.338,7.325658908,3.355671777,0.509482457
5.348,7.298996039,3.336066727,0.515328743
5.358,7.272475753,3.32195109,0.509767641
5.368,7.250518096,3.31090097,0.463282536
5.378,7.232695322,3.307193834,0.406673374
5.388,7.212519943,3.304841228,0.369884549
